0,SHOW ME A WEBSITE ABOUT *,*,*,Let's try a Google search.  <oob><search><star/></search></oob>,oob.aiml
0,GOOGLE,*,*,Let's try a Google search. ,oob.aiml
0,GOOGLE *,*,*,Let's try a Google search. ,oob.aiml
0,SEARCH *,*,*,Let's try a Google search. ,oob.aiml
0,FIND ME A *,*,*,Let's try a Google search. ,oob.aiml
0,FIND *,*,*,Let's try a Google search. ,oob.aiml
0,AAA,*,*,Let's try a Google search. ,oob.aiml
0,BROWSE TO *,*,*,Let's try a Google search. ,oob.aiml
0,HOROSCOPE *,*,*,Let's try a Google search. ,oob.aiml
0,JOBS *,*,*,Let's try a Google search. ,oob.aiml
0,OPEN GOOGLE,*,*,Let's try a Google search. ,oob.aiml
